name,code,Schedule Type,Instruction Method,Credit,Course Description,Section Details,Registration Restrictions,Section Attributes,Schedule and Location,Instructors,Course Quality,Instructor Quality,Work Required,Difficulty,Also_offered_as,Mutually_exclusive,Prerequisites,numeric_credit
Introduction to the Principles and Methods of Epidemiology,PUBH 5020,Lecture,In Class,1,"This course is designed to introduce students in all branches of public health to the principles and methods of epidemiology and its approaches and applications. The course introduces the basic epidemiological study designs, including randomized trials and observational studies (cohort, case-control, cross-sectional, ecological), and presents the foundations to understand risk, disease surveillance, and modeling. At the completion of this course, the student will be able to: (1) identify key data sources for epidemiology; (2) understand the principles of public health screening and surveillance programs; (3) describe public health problems in terms of magnitude, people, time, and place; (4) explain the importance of epidemiology for informing scientific, ethical, economic, and political discussions on health issues. Homework and in-class assignments focus on building skills in locating, interpreting, assessing, synthesizing, and communicating evidence from the epidemiologic literature, with an emphasis on critical thinking, causal inference, and understanding bias and confounding.",Not available,Not available,NURS PHD Concentration Class (NDCC),W 5:15pm-8:14pm (8/27 to 12/9),Gary Smith,2.9,3.5,2.6,2.6,,,,[1.0]
Public Health Theories & Frameworks,PUBH 5040,Lecture,In Class,1,"This introductory course is intended to provide students with a foundation in behavioral and social science theory in the context of public health research, policy, and practice. The content of this course will provide exposure to a broad range of theories and frameworks commonly employed in the field of public health for understanding health behaviors. These theories will be discussed using examples of their applications to numerous public health problems including, but not limited to: tobacco use, exercise, obesity, HIV/AIDS, violence, cancer, cardiovascular disease, diabetes, environmental hazards, COVID-19, and global health. Importantly, in order to consider the value and application of the theories and frameworks to these various health behaviors, this class also encourages students to critically consider the role of larger structural influences such as racism and other forms of discrimination on health behaviors.",Not available,Enrollment limited to students in a Master of Public Health degree.,"HSOC Public Health Core (AHPH)
HSOC Public Health Elective (AHPE)",M 5:15pm-8:14pm (8/27 to 12/9),Matthew Kearney,,,,,,,,[1.0]
Public Health Policy & Administration,PUBH 5050,Lecture,In Class,1,"This course is an introduction to health policy and management. It examines both the historical and current state of health policy in America and integrates these concepts within the context of public health practice. We will examine key concepts in understanding US health care organization, financing and delivery, the Patient Protection and Affordable Care Act (PPACA) examining the role and management issues of public health departments, and case studies in public health policy and management. At the completion of this course, the student will be able to: (1) understand the policymaking process–both legislative and administrative; (2) understand the major national health and health insurance programs: Medicare and Medicaid, PPACA and private insurance; (3) explain current concepts of health policy around costs, quality and access to care; (4) describe the current problems in public health at clinical and system levels and discuss future needs; (5) introduce management skills in evidence-based health policy, budgeting, and legislative and administrative policymaking and advocacy.",Not available,Enrollment limited to students in a Master of Public Health degree.,Not available,R 5:15pm-8:14pm (8/27 to 12/9),Heather Klusaritz,,,,,,,,[1.0]
Methods for Public Health Practice,PUBH 5060,Lecture,In Class,1,"This course provides students with a foundation in public health practice methods with a focus on program planning. The course leads the student through the key phases of program planning from the identification of the public health problem, to assessing community needs, designing an intervention, and planning for implementation and evaluation. Public health practice methods employed throughout the course include: locating evidence through a variety of search mechanisms; collecting and assessing community data via qualitative research methods, surveys, and geo-spatial mapping; and planning and pitching intervention ideas via logic models, project narratives, and elevator speeches. This course is intended to provide an overview of the methods employed in public health and does not go into detail about one method verse the other. Students will have the opportunity to explore methods of their own through the design and presentation of a unique intervention targeting a health problem of their choice. Group work and case studies are used to compliment material. Course assignments are designed to add practical examples to the student’s public health career portfolio.",Not available,Enrollment limited to students in a Master of Public Health degree.,Not available,M 1:45pm-4:44pm (8/27 to 12/9),"Anita Stief
Tolulope Oyetunde",,,,,,,,[1.0]
Public Health Law & Ethics,PUBH 5070,Lecture,In Class,1,"Law has played an indispensable role in the promotion of population health over the last hundred years. Legal interventions represent some of the most popular tools for increasing the quality and length of life. Law also plays an important role in structuring the delivery of health services including but not limited to the financing and regulation of health professionals working within hospitals and out in the community. This course introduces legal, ethical, and political concepts essential to the use of law and legal reform in promoting public health. Using current examples, the course introduces the authority of government to act, the limits on government action, and the legal and ethical implications when that authority and those limits collide. While exploring the tension between individual liberty and community health, it introduces the distinction between government action and inaction, the distribution of power and responsibility between levels and branches of government, and principles like consent. The course combines lecture, interactive class exercises, and group discussion.",Not available,Enrollment limited to students in a Master of Public Health degree.,"HSOC Law, Politics and Public Policy (AHSL)
HSOC Philosophical/Ethical (AHSH)",W 1:45pm-4:44pm (8/27 to 12/9),Patricia Skuster,,,,,,,,[1.0]
Foundations of Global Health,PUBH 5190,Varies by section,In Class,Varies by section,"This course provides an introductory overview of global health, with the primary aim to engage and inspire students about the opportunities and challenges of global health. Using an interdisciplinary approach to global health with an emphasis on addressing both global and local health disparities, learning formats include case-based analysis, small group discussion, faculty presentations, panels, and debates. Using the lens of health equity, this course provides an overview of many current issues in global public health and frameworks to address them, including: measures of disease burden; frameworks for health equity and rights; determinants of health; environmental health and safe water; control of infectious diseases; non-communicable disease programs, nutritional challenges; harm reduction and behavioral modifications; women’s reproductive rights; health economics and cost-effective interventions; health manpower and capacity development; globalization challenges and potentials. At the completion of this course, the student will be able to: (1) understand that global health involves multiple academic disciplines, and identify many of these; (2) understand that global health theory involves many, sometimes conflicting, belief systems, and identify some of these; (3) understand that global health can be conceived as a complex ecosystem, which involves issues that are much broader than the traditional health disciplines; (4) cite examples of specific issues and case studies in global health; (5) understand some of the potential interventions that can be used to ameliorate problems in global health, particularly in low-income countries.",Varies by section,Enrollment limited to students in a Master of Public Health degree.,"HSOC Global Health Concentration Elective (AHSG)
HSOC World Health (AHSW)
INTR International Relations Elective (AIRE)
INTR Non-Western Elective (AIRN)
MPH Generalist Track Required Track Elective (MMPN)
MPH Global Health Elective (MMPW)
MPH Global Health Track Required Track Elective (MMPH)
MPH Public Health Elective (MMPU)
NU Sector Global&Cultural Studies (NUGC)
NURS PHD Concentration Class (NDCC)
PPE Globalization (APPG)",Varies by section,Varies by section,,,,,,,,
Science & Politics of Food,PUBH 5530,Lecture,In Class,1,"This course explores the many complex forces that shape what we eat and why. We will examine the relationships between individual-level influences like our biology and psychological make-up and broader, societal influences like culture, policy and politics, economics, and structural racism and bias. We will discuss and critically evaluate scientific research on food policies and interventions designed to prevent nutrition-related chronic diseases. This course has a strong focus on understanding how we can create a more just and equitable food system. In addition, course assignments, activities, and lectures are designed to help students develop skills related to critiquing research and communicating evidence-based opinions in a clear and compelling manner.",Not available,Enrollment limited to students in a Master of Public Health degree.,"MPH Global Health Elective (MMPW)
MPH One Health Track Required Track Elective (MMPO)
MPH Public Health Elective (MMPU)",W 10:15am-1:14pm (8/27 to 12/9),Christina Roberto,,,,,,,,[1.0]
A Public Health Approach to Behavioral Health,PUBH 5550,Lecture,In Class,1,"This course is designed to focus on the public health issue of behavioral health, with a focus on mental health and its relation to substance use. The course will apply public health approaches beyond individual clinical treatment to take a population level approach to behavioral health. In addition to learning the prevalence and impact of behavioral health conditions, this course will also look at: the historical impact of mental health policy, including the Community Mental Health Services Act of 1963, on behavioral health services and public health issues like homelessness; strategies to address behavioral health taking a public health approach, e.g., widespread universal screening, community activation, community level interventions, and health promotion in addition to prevention; and local examples of community level interventions to address behavioral health including Mural Arts' Porch Light Program, a partnership with the City of Philadelphia Department of Behavioral Health.",Not available,Enrollment limited to students in a Master of Public Health degree.,MPH Public Health Elective (MMPU),W 5:15pm-8:14pm (8/27 to 12/9),Samantha Matlin,,,,,,,,[1.0]
Intimate Partner Violence,PUBH 5750,Lecture,In Class,1,"Intimate partner violence (IPV), defined as physical, sexual or psychological harm imposed by a current or former intimate partner, is a public health problem leading to increased morbidity and mortality worldwide. The purpose of this course is to familiarize students with the definition, theories, dynamics, scope, consequences of, and interventions to prevent and address, violence among intimate partners. Through this course, students will gain insight into the epidemiology of IPV across the life course, including risk and protective factors and examine unique considerations for vulnerable populations. The course will highlight current measurement issues in the field of IPV assessment and address IPV-related policies to address screening, prevention, and response to IPV. Using a social-ecological framework, we will examine the issue of IPV prevention and intervention from the individual, relationship, community, and societal perspectives, and explore approaches to and need for screening, as well as universal, selected, and indicated prevention efforts.",Not available,Enrollment limited to students in a Master of Public Health degree.,"GSE MSED Ed, Culture, Soc- Acad Based Comm Service (GMAC)
MPH Public Health Elective (MMPU)",T 5:15pm-8:14pm (8/27 to 12/9),Rachel Myers,,,,,SWRK 7750,,,[1.0]
Epidemiology & Control of Infectious Diseases,PUBH 6050,Lecture,In Class,1,"This course will focus on the application of epidemiological methods to the discovery, detection, and evaluation of infectious disease threats together with an evidence based assessment of the value of public health interventions intended to reduce prevalence and severity of disease in people. In-class assignments are intended to build skills in location, interpreting, assessing, and synthesizing evidence from the epidemiologic literature, with an emphasis on critical thinking, causal inference, and understanding bias and confounding.",Not available,Enrollment limited to students in a Master of Public Health degree.,MPH Public Health Elective (MMPU),W 1:45pm-4:44pm (8/27 to 12/9),Gary Smith,,,,,,,PUBH 5020,[1.0]
Design for Health Behavior Change,PUBH 6080,Lecture,In Class,1,"How might we get users of HIV self-tests to report their test results on a mobile app? How might vending machine design reduce soda consumption? How might we reduce alert fatigue in bedside nursing? How might tapping into social norms boost rates of mammography screening or reduce overprescribing of antibiotics? This course explores the answers to these questions and many more through the complementary lenses of design thinking and behavioral economics. Design thinking is a structured approach to innovation and problem solving that puts human needs at the center of solutioning. Behavioral economics, a field at the intersection of psychology and economics, helps us understand the fundamental psychological forces—including cognitive biases, mental shortcuts, and inconsistent time preferences—that might lead us to act against our best interest. With the theoretical insights of behavioral economics and the pragmatic, solutions-focused orientation of design thinking, we will develop and prototype desirable, feasible, and viable interventions to change health-related behaviors. Through lectures on behavioral economics theory, critical discussions of the empirical literature (including ethical and equity considerations), and hands-on practice applying human-centered design techniques to multiple design challenges, students will build relevant, practical expertise in behavioral design for public health and health care innovation. It is recommended students have prior coursework in, or a working knowledge of, epidemiology.",Not available,Enrollment limited to students in a Master of Public Health degree.,"MPH Generalist Track Required Track Elective (MMPN)
MPH Public Health Elective (MMPU)
NU FCH Department (NUFC)
NU Nursing and Health Services Mgmt Minor NU Elec (NUNH)",R 5:15pm-8:14pm (8/27 to 12/9),Alison Buttenheim,,,,,NURS 6130,,PUBH 5060 OR PUBH 5040,[1.0]
Capstone Seminar I,PUBH 7080,Lecture,In Class,1,"The Capstone Project is the culminating experience for the Master of Public Health degree in which MPH students apply the knowledge and skills learned throughout the curriculum to public health problems in a chosen area of interest or skillset. To support this process, students are required to take two semester-long Capstone courses, Capstone I and Capstone II. During Capstone I, students will identify, design, and plan their project under the guidance of their Capstone Instructor. Students will also identify a Capstone Mentor/s, a public health professional with expertise in the field who will oversee the design and development of the project. Each student is required to conduct a comprehensive review of the relevant literature to ensure they understand the social, cultural, and environmental context of their public health problem of interest. Additionally, students are asked to pay particular attention to the relevant policy environment, the concept of evidence-based practice, and to the needs of vulnerable populations. The nature and scope of the project is determined jointly by the student, Capstone Mentor, and Capstone Instructor. By the end of Capstone I, students should have a solid idea of what their Capstone Project is and how to complete it.",Not available,Enrollment limited to students in a Master of Public Health degree.,Not available,Varies by section,Not available,,,,,,,,[1.0]
Capstone Seminar II,PUBH 7090,Lecture,In Class,1,"Upon completion of Capstone I, students in Capstone II will finally carry out their planned Capstone Project. Throughout the course, students will engage their peers in scholarly discussion to workshop overcoming project hurdles. At the end of the course, students will deliver a professional presentation to public health practitioners and submit a written paper on their Capstone Project.",Not available,Enrollment limited to students in a Master of Public Health degree.,Not available,Varies by section,Not available,,,,,,,,[1.0]
Beginning Punjabi Part I,PUNJ 0100,Lecture,In Class,1,"This course emphasizes speaking and reading skills in Punjabi. Upon completion of this course, students should be able to interact meaningfully and in a socially acceptable manner in a variety of simple situations involving everyday conversational topics. Further, students should be able to read and understand the main idea and most details of simple connected texts. This course will utilize authentic printed, audio, and video materials and will provide opportunities for natural communication both within and outside the classroom.",Not available,Not available,"COL-COURSE-Language (AULG)
NU GloblHealthMin Lang (NUGL)
SAST South Asian Major Related (ASAR)
WH UG Humanities (WUHM)",TR 1:45pm-3:14pm (8/27 to 12/9),Amrit Gahunia,,,,,,,,[1.0]
Intermediate Punjabi Part I,PUNJ 0300,Lecture,In Class,1,"This course is designed as a continuation of Beginning Punjabi, but can also be taken by anyone who can demonstrate a similar level in proficiency of the language. The course objectives are to expand the mastery of sentence patterns and augment vocabulary and its usage through intensive grammar review and comprehension exercises. A special emphasis will also be placed on greater cultural awareness. Upon completion of this course students should be able to interact socially with added confidence and greater expressiveness. Students should also experience a great improvement in their comprehension of the spoken and written language.",Not available,Not available,"COL-COURSE-Language (AULG)
NU GloblHealthMin Lang (NUGL)
SAST South Asian Major Related (ASAR)
WH UG CCP Non-US (WUCN)
WH UG Humanities (WUHM)",TR 12pm-1:29pm (8/27 to 12/9),Amrit Gahunia,3.5,3.5,1.0,,,,,[1.0]
Beginning Punjabi Part I,PUNJ 5100,Lecture,In Class,1,"This course emphasizes speaking and reading skills in Punjabi. Upon completion of this course, students should be able to interact meaningfully and in a socially acceptable manner in a variety of simple situations involving everyday conversational topics. Further, students should be able to read and understand the main idea and most details of simple connected texts. This course will utilize authentic printed, audio, and video materials and will provide opportunities for natural communication both within and outside the classroom.",Not available,Not available,Not available,TR 1:45pm-3:14pm (8/27 to 12/9),Amrit Gahunia,,,,,,,,[1.0]
Intermediate Punjabi Part I,PUNJ 5300,Lecture,In Class,1,"This course is designed as a continuation of Beginning Punjabi, but can also be taken by anyone who can demonstrate a similar level in proficiency of the language. The course objectives are to expand the mastery of sentence patterns and augment vocabulary and its usage through intensive grammar review and comprehension exercises. A special emphasis will also be placed on greater cultural awareness. Upon completion of this course students should be able to interact socially with added confidence and greater expressiveness. Students should also experience a great improvement in their comprehension of the spoken and written language.",Not available,Not available,Not available,TR 12pm-1:29pm (8/27 to 12/9),Amrit Gahunia,3.5,3.5,1.0,,,,,[1.0]
Elementary Quechua I,QUEC 0100,Seminar,In Class,1,"Quechua, the language of the Inca Empire and still spoken by approximately 6 million people throughout the Andes, is the most popular indigenous language of South America. The program focuses on the development of written and oral communicative abilities in Quechua through an interactive activity-based approach. Course includes an introduction to Quechua and Andean culture. Students will participate in pair, small-group and whole-class activities. Assessment is based on both students ability to use the language in written and oral tasks and understanding the language and culture. This beginning level Quechua course is designed for students who have little or no previous knowledge of the language. Lectures will be delivered in English and Quechua",Not available,Not available,"COL-COURSE-Language (AULG)
LALX Related Elective (ALMR)
WH UG Humanities (WUHM)",TR 5:15pm-6:44pm (8/27 to 12/9),Not available,2.5,3.6,0.8,1.5,,,,[1.0]
Intermediate Quechua I,QUEC 0300,Seminar,In Class,1,"Quechua, the language of the Inca Empire and still spoken by approximately 8 million people throughout the Andes, is the most spoken indigenous language in the Americas. The program focuses on the development of written and oral communicative abilities in Quechua through an interactive activity-based approach. This intermediate-level course emphasizes students' acquisition of new vocabulary and linguistic structures in a cultural and communicative context. Assessment is based on the students’ ability to use the language while understanding Andean culture, and building on their previous written and oral skills. Lectures will be delivered in English and Quechua.",Not available,Not available,"COL-COURSE-Language (AULG)
LALX Related Elective (ALMR)
WH UG CCP Non-US (WUCN)
WH UG Humanities (WUHM)",TR 3:30pm-4:59pm (8/27 to 12/9),Not available,,,,,,,,[1.0]
"Global Real Estate: Risk, Politics and Culture",REAL 2050,Lecture,In Class,1,"This is an introductory course to global real estate markets, with a focus on income-producing real estate assets. Globally, estimates suggest the value of investable real estate assets in the world exceeds $60 trillion. We will discuss the basics of valuation and risk management, emphasizing concepts that are salient in the global context, including political risk, currency risk, property rights and culture. The course will cover markets outside the United States, except for one special topic on international investors in the United States. We will focus more on the qualitative aspects of real estate investment analysis and less on quantitative aspects. As firms expand their ventures across borders, there is a growing emphasis on the ability to assess and manage risk in a global business environment. Many of these decisions have implications on real estate assets. In this class, we will discuss the real estate business decisions of global firms, such as Blackstone, Hilton, AirBNB, WeWork, Prologis, Walmart and Amazon. This is a full semester course, open to undergraduates and MBA's. Lecture with discussion required.",Not available,Enrollment limited to students in the Wharton Undergraduate division.,"PPE Globalization (APPG)
PPE Public Policy & Governance (APPU)
WH UG GEBS: Global Economy, Business, Society (WUGE)
Wharton UG Huntsman Program Elec (WUIS)
Wharton UG Real Estate Concentration Elec (WURE)",Varies by section,Maisy Wong,3.0,3.2,2.3,2.5,,REAL 7050,,[1.0]
Real Estate Investment: Analysis and Financing,REAL 2090,Lecture,In Class,1,"This course provides an introduction to real estate with a focus on investment and financing issues. Project evaluation, financing strategies, investment decision making and real estate capital markets are covered. No prior knowledge of the industry is required, but students are expected to rapidly acquire a working knowledge of real estate markets. Classes are conducted in a standard lecture format with discussion required. The course contains cases that help students evaluate the impact of more complex financing and capital markets tools used in real estate. There are case studies and two midterms, (depending on instructor).",Auditors need permission. This class is open to non-Wharton students on a space-available basis. Non-Wharton students must place a permission request in the PATH system in order to be eligible to receive a permission to enroll.,Enrollment limited to students in the Wharton Undergraduate division.,"Wharton UG Real Estate Concentration Elec (WURE)
Wharton UG Retailing Concentration Elec (WURT)",Varies by section,Varies by section,2.8,2.8,3.0,3.0,FNCE 2090,,FNCE 1000,[1.0]
Urban Fiscal Policy,REAL 2300,Lecture,In Class,1,"This course will examine the provision of public services for firms and people through cities. Why cities exist, when fiscal policy fails, investments in infrastructure, realities of local governments such as inequality, crime, corruption, high cost of living, congestion, and unfunded pensions and debt, will be covered. We will pay special attention to recent topics, such as partnerships with the private sector, enterprise zones, the role of technology, environmental challenges, and real estate policies that promote housing affordability, such as rent control and inclusionary zoning.",This class is open to non-Wharton students on a space-available basis. Non-Wharton students must place a permission request in the PATH system in order to be eligible to receive a permission to enroll.,Enrollment limited to students in the Wharton Undergraduate division.,"NU Sector Global&Cultural Studies (NUGC)
NU Sector Society&Soc Struct (NUSS)
PPE Public Policy & Governance (APPU)
PSCI American Politics (APSA)
PSCI Minor American Public Policy (APAP)
PSCI Political Economy (APSE)
SEAS Social Science (EUSS)
Wharton Social Imp & Resp (WUSR)
Wharton UG Business Econ & Public Pol Conc Elec (WUBP)
Wharton UG Real Estate Concentration Elec (WURE)
Wharton UG Social Impact Concentration Elec (WUSE)",MW 10:15am-11:44am (8/27 to 12/9),Fernando Ferreira,2.9,3.5,2.2,2.8,"BEPP 2300,FNCE 2300",,,[1.0]
Real Estate Development,REAL 3210,Lecture,In Class,1,"This course evaluates ""ground-up"" development as well as re-hab, re-development, and acquisition investments. We examine raw and developed land and the similarities and differences of traditional real estate product types including office, R & D, retail, warehouses, single family and multi-family residential, mixed use, and land as well as ""specialty"" uses like golf courses, assisted living, and fractional share ownership. Emphasis is on concise analysis and decision making. We discuss the development process with topics including market analysis, site acquisition, due diligence, zoning, entitlements, approvals, site planning, building design, construction, financing, leasing, and ongoing management and disposition. Special topics like workouts and running a development company are also discussed. Course lessons apply to all markets but the class discusses U.S. markets only. Throughout the course, we focus on risk management and leadership issues. Numerous guest lecturers who are leaders in the real estate industry participate in the learning process. Format: predominately case analysis and discussion, some lectures, project visits.",Not available,Enrollment limited to students in the Wharton Undergraduate division.,Not available,M 3:30pm-6:29pm (8/26 to 12/4),Alan Feldman,2.8,2.9,3.4,3.2,,REAL 8210,REAL 2090 OR FNCE 2090,[1.0]
Real Estate Entrepreneurship,REAL 3960,Lecture,In Class,0.5,"This half-semester course will focus on entrepreneurial aspects of the real estate investment business. The course structure is designed to track the life cycle of real estate investing with different units focusing on discrete stages of the deal process from sourcing and capital raising through asset management and property disposition. At each juncture, granular attention will be paid to real-life deal making skills, all from the perspective of an entrepreneur operating with limited resources in different economic environments. As part of the class, you will analyze deals, models and investment documentation that, once assembled, will arm you with a ""deal tool kit"" that you can reference as you engage in real estate transactions throughout your career. At the end of the course, time will be allocated to discuss the trajectory of entrepreneurship and how it corresponds to careers in the real estate business.",No auditors allowed. This class is open to non-Wharton students on a space-available basis. Non-Wharton students must place a permission request in the PATH system in order to be eligible to receive a permission to enroll.,Enrollment limited to students in the Wharton Undergraduate division.,"Wharton UG Management Concentration ENTI Elec (WUEI)
Wharton UG Real Estate Concentration Elec (WURE)",T 3:30pm-6:29pm (8/26 to 10/8),Ari Shalam,2.8,2.8,2.5,2.3,,REAL 8910,FNCE 1000,[0.5]
"Global Real Estate: Risk, Politics and Culture",REAL 7050,Lecture,In Class,1,"This is an introductory course to global real estate markets, with a focus on income-producing real estate assets. Globally, estimates suggest the value of investable real estate assets in the world exceeds $60 trillion. We will discuss the basics of valuation and risk management, emphasizing concepts that are salient in the global context, including political risk, currency risk, property rights, and culture. The course will cover markets outside the United States, except for one special topic on international investors in the United States. We will focus more on the qualitative aspects of real estate investment analysis and less on the quantitative aspects. As firms expand their ventures across borders, there is a growing emphasis on the ability to assess and manage risk in a global business environment. Many of these decisions have implications on real estate assets. In this class, we will discuss the real estate business decisions of global firms, such as Blackstone, Hilton, AirBNB, WeWork, Prologis, Walmart and Amazon. This is a full semester course, open to undergraduates and MBA's. Lecture with discussion required.",Not available,"Enrollment limited to students in the Wharton Graduate division.
Enrollment in this course is restricted. Request Permission to register.",Wharton MBA Real Estate Major Elec (WMRE),Varies by section,Maisy Wong,3.0,3.4,2.3,2.3,,REAL 2050,,[1.0]
Real Estate Investment: Analysis and Financing,REAL 7210,Lecture,In Class,1,"This course provides an introduction to real estate with a focus on investment and financing issues. Project evaluation, financing strategies, investment decision making and capital markets are covered. No prior knowledge of the industry is required, but students are expected to rapidly acquire a working knowledge of real estate markets. Classes are conducted in a standard lecture format with discussion required. The course contains cases that help students evaluate the impact of more complex financing and capital markets tools used in real estate. Lecture with discussion required.",This class is open to non-Wharton students on a space-available basis. Non-Wharton students must place a permission request in the PATH system in order to be eligible to receive a permission to enroll. Wharton MBA Course. MBA students must request enrollment for this class through Course Match and should not use the “Add to Cart” or “Request Permission” functions.,"Enrollment limited to students in the Weitzman School Professional or Wharton Graduate divisions.
Enrollment in this course is restricted. Request Permission to register.",Not available,Varies by section,Sophie Calder-Wang,2.8,3.0,2.9,2.9,FNCE 7210,,FNCE 6110,[1.0]
Urban Fiscal Policy,REAL 7300,Lecture,In Class,1,"This course will examine the provision of public services for firms and people through cities. Why cities exist, when fiscal policy fails, investments in infrastructure, realities of local governments such as inequality, crime, corruption, high cost of living, congestion, and unfunded pensions and debt, will be covered. We will pay special attention to recent topics, such as partnerships with the private sector, enterprise zones, the role of technology, environmental challenges, and real estate policies that promote housing affordability, such as rent control and inclusionary zoning.",Auditors need permission. This class is open to non-Wharton students on a space-available basis. Non-Wharton students must place a permission request in the PATH system in order to be eligible to receive a permission to enroll. Wharton MBA Course. MBA students must request enrollment for this class through Course Match and should not use the “Add to Cart” or “Request Permission” functions.,"Enrollment limited to students in the Wharton Graduate division.
Enrollment in this course is restricted. Request Permission to register.","MES Urban Environment Elective (BMEU)
Wharton MBA Business Econ & Public Pol Major Elec (WMBE)
Wharton MBA Real Estate Major Elec (WMRE)",MW 1:45pm-3:14pm (8/26 to 12/4),Fernando Ferreira,2.7,2.7,2.5,2.2,"BEPP 7730,FNCE 7300",,,[1.0]
Real Estate Development,REAL 8210,Lecture,In Class,1,"This course evaluates ""ground-up"" development as well as re-hab, re-development, and acquisition investments. We examine raw and developed land and the similarities and differences of traditional real estate product types including office, R & D, retail, warehouses, single family and multi-family residential, mixed use, and land as well as ""specialty"" uses like golf courses, assisted living, and fractional share ownership. Emphasis is on concise analysis and decision making. We discuss the development process with topics including market analysis, site acquisition, due diligence, zoning, entitlements, approvals, site planning, building design, construction, financing, leasing, and ongoing management and disposition. Special topics like workouts and running a development company are also discussed. Course lessons apply to all markets but the class discusses U.S. markets only. Throughout the course, we focus on risk management and leadership issues. Numerous guest lecturers who are leaders in the real estate industry participate in the learning process. Format: predominately case analysis and discussion, some lectures, project visits.",Auditors need permission. This class is open to non-Wharton students on a space-available basis. Non-Wharton students must place a permission request in the PATH system in order to be eligible to receive a permission to enroll. Wharton MBA course. MBA students must request enrollment for this class through Course Match and should not use the “Add to Cart” or “Request Permission” functions.,"Enrollment limited to students in the Wharton Graduate division.
Enrollment in this course is restricted. Request Permission to register.",DSGN Design Masters ARCH Elective (FMAR),M 3:30pm-6:29pm (8/26 to 12/4),Alan Feldman,2.8,2.9,3.4,3.2,ARCH 7680,REAL 3210,REAL 7210 OR FNCE 7210,[1.0]
Real Estate Entrepreneurship,REAL 8910,Lecture,In Class,0.5,"This half-semester course will focus on entrepreneurial aspects of the real estate investment business. The course structure is designed to track the life cycle of real estate investing with different units focusing on discrete stages of the deal process from sourcing and capital raising through asset management and property disposition. At each juncture, granular attention will be paid to real-life deal making skills, all from the perspective of an entrepreneur operating with limited resources in different economic environments. As part of the class, you will analyze deals, models and investment documentation that, once assembled, will arm you with a ""deal tool kit"" that you can reference as you engage in real estate transactions throughout your career. At the end of the course, time will be allocated to discuss the trajectory of entrepreneurship and how it corresponds to careers in the real estate business.",No auditors allowed. This class is open to non-Wharton students on a space-available basis. Non-Wharton students must place a permission request in the PATH system in order to be eligible to receive a permission to enroll. Wharton MBA course. MBA students must request enrollment for this class through Course Match and should not use the “Add to Cart” or “Request Permission” functions.,"Enrollment limited to students in the Wharton Graduate division.
Enrollment in this course is restricted. Request Permission to register.","Wharton MBA Entrepreneurship & Innov Major Elec (WMEI)
Wharton MBA Real Estate Major Elec (WMRE)
Wharton UG Real Estate Concentration Elec (WURE)",T 3:30pm-6:29pm (8/26 to 10/8),Ari Shalam,3.0,3.0,2.4,2.2,,REAL 3960,FNCE 6110,[0.5]
Applied Economics Seminar,REAL 9620,Seminar,In Class,0.5,"The goal of this course is to help doctoral students develop critical thinking skills through both seminar participation and writing of referee reports. To this end students will attend the Wharton Applied Economics each Wednesday at noon seminar when it meets; prepare two written referee reports on WAE papers per semester, due before the seminar is presented. After attending the seminar and the ensuing discussion of the paper, students will prepare follow-up evaluations of their referee report reports, due one week after the seminar.",Wharton Doctoral course.,Enrollment limited to students in the Wharton PhD division.,Not available,MW 12pm-1:29pm (8/27 to 12/9),Eduardo Azevedo,,,,,BEPP 9620,,,[0.5]
